epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,149.546,0.68253,0.41871,0.95238,0.98159,1,0.99234,0.82639,0.67663,0.35126,0.91986,0.000940855,0.000940855,0.000940855
134,150.661,0.67692,0.42844,0.94892,0.98079,1,0.99259,0.83639,0.64802,0.3341,0.91119,0.000935354,0.000935354,0.000935354
135,151.753,0.6986,0.42031,0.96069,0.98202,1,0.99195,0.83628,0.64103,0.34234,0.91026,0.000929853,0.000929853,0.000929853
136,152.866,0.65501,0.4115,0.95449,0.98197,0.99997,0.99085,0.82443,0.68273,0.36041,0.92365,0.000924352,0.000924352,0.000924352
137,153.981,0.68131,0.41076,0.9558,0.98143,0.99924,0.99066,0.83289,0.65857,0.35663,0.91809,0.00091885,0.00091885,0.00091885
138,155.082,0.67086,0.41416,0.95581,0.98139,1,0.9903,0.84427,0.6202,0.35018,0.90384,0.000913349,0.000913349,0.000913349
139,156.404,0.66207,0.41643,0.95692,0.98017,1,0.99119,0.846,0.65165,0.3432,0.90565,0.000907848,0.000907848,0.000907848
140,157.544,0.68461,0.43824,0.95799,0.98036,1,0.99193,0.83748,0.64399,0.34182,0.90629,0.000902347,0.000902347,0.000902347
141,158.641,0.66313,0.4227,0.94311,0.98065,1,0.99301,0.83813,0.66238,0.3526,0.91486,0.000896846,0.000896846,0.000896846
142,159.737,0.65937,0.4181,0.94767,0.97932,0.9995,0.99301,0.83946,0.65206,0.35309,0.90862,0.000891345,0.000891345,0.000891345
143,160.832,0.67314,0.41771,0.95362,0.98315,0.9947,0.99317,0.83839,0.63786,0.3563,0.91017,0.000885844,0.000885844,0.000885844
144,161.93,0.65145,0.40158,0.93633,0.98386,0.99373,0.99234,0.83941,0.62207,0.37088,0.91291,0.000880343,0.000880343,0.000880343
145,163.028,0.6663,0.40713,0.95357,0.97836,0.98751,0.99158,0.83934,0.61136,0.37266,0.9149,0.000874842,0.000874842,0.000874842
146,164.131,0.65962,0.40794,0.95003,0.98082,0.98864,0.99112,0.84314,0.61225,0.37886,0.91594,0.00086934,0.00086934,0.00086934
147,165.231,0.64252,0.42062,0.96926,0.98083,0.98864,0.98794,0.82939,0.63274,0.38947,0.91984,0.000863839,0.000863839,0.000863839
148,166.34,0.66247,0.4158,0.95157,0.98211,0.99229,0.98836,0.84207,0.6362,0.37224,0.91529,0.000858338,0.000858338,0.000858338
149,167.439,0.63671,0.40598,0.9513,0.97972,1,0.98938,0.84154,0.62602,0.36245,0.90697,0.000852837,0.000852837,0.000852837
150,168.551,0.64403,0.41021,0.95944,0.97873,1,0.99166,0.8429,0.62422,0.35955,0.9057,0.000847336,0.000847336,0.000847336
151,169.654,0.68096,0.41559,0.97599,0.97518,1,0.99284,0.83957,0.62652,0.36976,0.90743,0.000841835,0.000841835,0.000841835
152,170.765,0.62961,0.39121,0.93028,0.9714,1,0.99259,0.83738,0.63707,0.4155,0.91372,0.000836334,0.000836334,0.000836334
153,171.869,0.65215,0.41196,0.94679,0.97153,0.99869,0.99152,0.83577,0.63342,0.43885,0.9132,0.000830833,0.000830833,0.000830833
154,172.98,0.64703,0.39954,0.95151,0.96187,1,0.99126,0.84347,0.6433,0.40989,0.91226,0.000825332,0.000825332,0.000825332
155,174.094,0.65071,0.40636,0.9425,0.97718,0.99691,0.99155,0.8549,0.6268,0.36992,0.90275,0.000819831,0.000819831,0.000819831
156,175.225,0.69134,0.41492,0.96728,0.98033,1,0.99138,0.85179,0.62548,0.37156,0.89832,0.000814329,0.000814329,0.000814329
157,176.332,0.67611,0.41574,0.96435,0.98163,1,0.99192,0.84241,0.64001,0.36422,0.90989,0.000808828,0.000808828,0.000808828
158,177.442,0.67961,0.40231,0.95733,0.98722,1,0.99369,0.83643,0.62382,0.35355,0.90884,0.000803327,0.000803327,0.000803327
159,178.539,0.66411,0.40712,0.94786,0.98778,0.99811,0.99369,0.84177,0.63661,0.35018,0.91007,0.000797826,0.000797826,0.000797826
160,179.653,0.64546,0.39354,0.95406,0.98251,1,0.99242,0.84133,0.64244,0.3457,0.90877,0.000792325,0.000792325,0.000792325
161,180.761,0.64177,0.40647,0.93074,0.98221,0.99829,0.9914,0.84103,0.6355,0.34898,0.91214,0.000786824,0.000786824,0.000786824
162,181.866,0.62699,0.39586,0.9399,0.98217,0.99871,0.99238,0.84595,0.62951,0.34173,0.9104,0.000781323,0.000781323,0.000781323
163,182.97,0.64862,0.39311,0.95254,0.98175,0.9968,0.99324,0.84761,0.6267,0.33021,0.90493,0.000775822,0.000775822,0.000775822
164,184.072,0.6124,0.3807,0.94513,0.98384,0.99303,0.99376,0.84451,0.6389,0.33716,0.90657,0.000770321,0.000770321,0.000770321
165,185.178,0.64701,0.39818,0.95056,0.97881,0.98864,0.98702,0.83921,0.64366,0.3396,0.90939,0.00076482,0.00076482,0.00076482
166,186.288,0.65762,0.40179,0.95678,0.97973,0.98864,0.99156,0.84712,0.63658,0.33879,0.90781,0.000759318,0.000759318,0.000759318
167,187.397,0.64881,0.40267,0.95016,0.9789,0.98864,0.99101,0.84372,0.64249,0.35423,0.90597,0.000753817,0.000753817,0.000753817
168,188.501,0.65005,0.39965,0.94219,0.97421,0.98864,0.99139,0.83807,0.653,0.35034,0.90636,0.000748316,0.000748316,0.000748316
169,189.602,0.6615,0.3991,0.95031,0.97724,0.99475,0.99219,0.84106,0.63039,0.33972,0.89981,0.000742815,0.000742815,0.000742815
170,190.716,0.60203,0.37775,0.93922,0.97593,1,0.99247,0.83953,0.61747,0.33007,0.89738,0.000737314,0.000737314,0.000737314
171,191.822,0.63647,0.38331,0.94395,0.98108,1,0.99311,0.84487,0.61997,0.33774,0.90273,0.000731813,0.000731813,0.000731813
172,192.935,0.64235,0.38359,0.93797,0.98592,1,0.99311,0.84135,0.6309,0.33945,0.90951,0.000726312,0.000726312,0.000726312
173,194.055,0.5899,0.3593,0.9209,0.9874,1,0.99311,0.84709,0.6183,0.33374,0.90849,0.000720811,0.000720811,0.000720811
